Global Variable: .str, Size: 31 bytes
Global Variable: stdout, Size: 8 bytes
Global Variable: net, Size: 648 bytes
Global Variable: .str.1, Size: 34 bytes
Global Variable: .str.1.2, Size: 34 bytes
Global Variable: .str.2, Size: 36 bytes
Global Variable: str.18, Size: 28 bytes
Global Variable: .str.4, Size: 34 bytes
Global Variable: .str.5, Size: 34 bytes
Global Variable: .str.6, Size: 36 bytes
Global Variable: str.19, Size: 27 bytes
Global Variable: str.20, Size: 51 bytes
Global Variable: str.21, Size: 45 bytes
Global Variable: str.22, Size: 39 bytes
Global Variable: str.23, Size: 69 bytes
Global Variable: .str.13, Size: 11 bytes
Global Variable: str.25, Size: 17 bytes
Global Variable: .str.16, Size: 34 bytes
Global Variable: str.24, Size: 5 bytes
Global Variable: .str.1.12, Size: 25 bytes
Global Variable: .str.2.13, Size: 49 bytes
Global Variable: .str.3, Size: 31 bytes
Global Variable: stderr, Size: 8 bytes
Global Variable: .str.4.14, Size: 23 bytes
Global Variable: .str.5.15, Size: 23 bytes
Global Variable: .str.18, Size: 2 bytes
Global Variable: .str.4.24, Size: 6 bytes
Global Variable: full_group_end_arc, Size: 8 bytes
Global Variable: basket, Size: 8 bytes
Global Variable: basket_sizes, Size: 8 bytes
Global Variable: perm_p, Size: 8 bytes
Global Variable: opt_basket, Size: 8 bytes
Global Variable: opt, Size: 1 bytes
Global Variable: .str.31, Size: 2 bytes
Global Variable: .str.1.32, Size: 8 bytes
Global Variable: str, Size: 30 bytes
Global Variable: .str.3.33, Size: 12 bytes
Struct: struct._IO_FILE, Size: 216 bytes
Struct: struct._IO_marker, Size: 24 bytes
Struct: struct.network, Size: 648 bytes
Struct: struct.node, Size: 104 bytes
Struct: struct.arc, Size: 72 bytes
Struct: struct.basket, Size: 32 bytes
Struct: struct.list_elem, Size: 16 bytes
