Global Variable: netif_dhcp, Size: 104 bytes, Declared in: [unknown]
Global Variable: netif_autoip, Size: 40 bytes, Declared in: [unknown]
Global Variable: stdout, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.1, Size: 26 bytes, Declared in: [unknown]
Global Variable: .str.2, Size: 37 bytes, Declared in: [unknown]
Global Variable: .str.3, Size: 12 bytes, Declared in: [unknown]
Global Variable: .str.4, Size: 51 bytes, Declared in: [unknown]
Global Variable: .str.5, Size: 27 bytes, Declared in: [unknown]
Global Variable: .str.6, Size: 18 bytes, Declared in: [unknown]
Global Variable: .str.9, Size: 19 bytes, Declared in: [unknown]
Global Variable: .str.10, Size: 21 bytes, Declared in: [unknown]
Global Variable: .str.7, Size: 47 bytes, Declared in: [unknown]
Global Variable: .str.8, Size: 23 bytes, Declared in: [unknown]
Global Variable: .str, Size: 40 bytes, Declared in: [unknown]
Global Variable: netif, Size: 408 bytes, Declared in: [unknown]
Global Variable: http_index_html, Size: 164 bytes, Declared in: [unknown]
Global Variable: http_html_hdr, Size: 45 bytes, Declared in: [unknown]
Global Variable: .str.11, Size: 20 bytes, Declared in: [unknown]
Global Variable: .str.1.12, Size: 26 bytes, Declared in: [unknown]
Global Variable: charcb_list, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.13, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.1.14, Size: 40 bytes, Declared in: [unknown]
Global Variable: .str.2.15, Size: 32 bytes, Declared in: [unknown]
Global Variable: .str.3.16, Size: 38 bytes, Declared in: [unknown]
Global Variable: .str.4.17, Size: 33 bytes, Declared in: [unknown]
Global Variable: .str.5.18, Size: 3 bytes, Declared in: [unknown]
Global Variable: .str.19, Size: 15 bytes, Declared in: [unknown]
Global Variable: .str.1.20, Size: 22 bytes, Declared in: [unknown]
Global Variable: .str.2.21, Size: 20 bytes, Declared in: [unknown]
Global Variable: .str.3.22, Size: 25 bytes, Declared in: [unknown]
Global Variable: .str.4.23, Size: 8 bytes, Declared in: [unknown]
Global Variable: .str.24, Size: 15 bytes, Declared in: [unknown]
Global Variable: .str.1.25, Size: 22 bytes, Declared in: [unknown]
