Global Variable: stderr, Size: 8 bytes
Global Variable: _ZL17switch_membership, Size: 8 bytes
Global Variable: _ZL12center_table, Size: 8 bytes
Global Variable: _ZL9is_center, Size: 8 bytes
Global Variable: _ZL5nproc, Size: 4 bytes
Global Variable: _ZZ8pkmedianP6PointsllPliP16parsec_barrier_tE4hizs, Size: 8 bytes
Global Variable: _ZZ8pkmedianP6PointsllPliP16parsec_barrier_tE11numfeasible, Size: 4 bytes
Global Variable: _ZZ8pkmedianP6PointsllPliP16parsec_barrier_tE8feasible, Size: 8 bytes
Global Variable: _ZZ8pkmedianP6PointsllPliP16parsec_barrier_tE1k, Size: 8 bytes
Global Variable: _ZZ5pgainlP6PointsdPliP16parsec_barrier_tE29gl_number_of_centers_to_close, Size: 4 bytes
Global Variable: _ZZ5pgainlP6PointsdPliP16parsec_barrier_tE20gl_cost_of_opening_x, Size: 8 bytes
Global Variable: _ZZ5pgainlP6PointsdPliP16parsec_barrier_tE8work_mem, Size: 8 bytes
Global Variable: _ZZ7pspeedyP6PointsfPliP16parsec_barrier_tE4cond, Size: 48 bytes
Global Variable: _ZZ7pspeedyP6PointsfPliP16parsec_barrier_tE5mutex, Size: 40 bytes
Global Variable: _ZZ7pspeedyP6PointsfPliP16parsec_barrier_tE1i, Size: 4 bytes
Global Variable: _ZZ7pspeedyP6PointsfPliP16parsec_barrier_tE5costs, Size: 8 bytes
Global Variable: _ZZ7pspeedyP6PointsfPliP16parsec_barrier_tE9totalcost, Size: 8 bytes
Global Variable: _ZStL8__ioinit, Size: 1 bytes
Global Variable: _ZZ7pspeedyP6PointsfPliP16parsec_barrier_tE4open, Size: 1 bytes
Global Variable: .str.3, Size: 2 bytes
Global Variable: .str.1.4, Size: 18 bytes
Global Variable: .str.2.5, Size: 4 bytes
Global Variable: .str.3.6, Size: 5 bytes
Global Variable: .str.5, Size: 3 bytes
Global Variable: .str.4, Size: 5 bytes
Global Variable: .str.6, Size: 32 bytes
Global Variable: .str.7, Size: 16 bytes
Global Variable: .str.8, Size: 21 bytes
Global Variable: .str.9, Size: 33 bytes
Global Variable: .str.10, Size: 24 bytes
Global Variable: .str.11, Size: 64 bytes
Global Variable: .str.12, Size: 47 bytes
Global Variable: .str.13, Size: 47 bytes
Global Variable: .str.14, Size: 45 bytes
Global Variable: .str.15, Size: 38 bytes
Global Variable: .str.16, Size: 57 bytes
Global Variable: .str.17, Size: 55 bytes
Global Variable: .str.18, Size: 37 bytes
Global Variable: .str.19, Size: 28 bytes
Global Variable: .str.20, Size: 41 bytes
Global Variable: .str.22, Size: 77 bytes
Global Variable: _ZTV9SimStream, Size: 56 bytes
Global Variable: _ZTV10FileStream, Size: 56 bytes
Global Variable: .str.23, Size: 3 bytes
Global Variable: .str.24, Size: 24 bytes
Global Variable: _ZTI10FileStream, Size: 24 bytes
Global Variable: .str.25, Size: 21 bytes
Global Variable: _ZTVN10__cxxabiv120__si_class_type_infoE, Size: 8 bytes
Global Variable: _ZTS10FileStream, Size: 13 bytes
Global Variable: _ZTI7PStream, Size: 16 bytes
Global Variable: _ZTVN10__cxxabiv117__class_type_infoE, Size: 8 bytes
Global Variable: _ZTS7PStream, Size: 9 bytes
Global Variable: _ZTI9SimStream, Size: 24 bytes
Global Variable: _ZTS9SimStream, Size: 11 bytes
Global Variable: llvm.global_ctors, Size: 24 bytes
Global Variable: __dso_handle, Size: 1 bytes
Struct: struct._IO_FILE, Size: 216 bytes
Struct: struct._IO_marker, Size: 24 bytes
Struct: union.pthread_cond_t, Size: 48 bytes
Struct: struct.__pthread_cond_s, Size: 48 bytes
Struct: union.anon, Size: 8 bytes
Struct: union.pthread_mutex_t, Size: 40 bytes
Struct: struct.__pthread_mutex_s, Size: 40 bytes
Struct: struct.__pthread_internal_list, Size: 16 bytes
Struct: class.std::ios_base::Init, Size: 1 bytes
Struct: union.pthread_mutexattr_t, Size: 4 bytes
Struct: struct.parsec_barrier_t, Size: 104 bytes
Struct: struct.Points, Size: 24 bytes
Struct: struct.Point, Size: 32 bytes
Struct: union.pthread_attr_t, Size: 56 bytes
Struct: class.PStream, Size: 8 bytes
Struct: class.FileStream, Size: 16 bytes
Struct: class.SimStream, Size: 16 bytes
