Global Variable: local3Array, Size: 256000 bytes, Declared in: [unknown]
Global Variable: localArray, Size: 6400 bytes, Declared in: [unknown]
Global Variable: hot_data, Size: 140 bytes, Declared in: [unknown]
Global Variable: hot_array, Size: 5600 bytes, Declared in: [unknown]
Global Variable: _ZStL8__ioinit, Size: 1 bytes, Declared in: [unknown]
Global Variable: _ZSt4cout, Size: 272 bytes, Declared in: [unknown]
Global Variable: .str, Size: 19 bytes, Declared in: [unknown]
Global Variable: .str.1, Size: 3 bytes, Declared in: [unknown]
Global Variable: .str.2, Size: 13 bytes, Declared in: [unknown]
Global Variable: llvm.global_ctors, Size: 24 bytes, Declared in: [unknown]
Global Variable: __dso_handle, Size: 1 bytes, Declared in: [unknown]
Global Variable: __ioinit, Size: 0 bytes, Declared in: /usr/lib/gcc/x86_64-linux-gnu/9/../../../../include/c++/9/iostream:74
Struct: struct.HotData, Size: 140 bytes
Struct: class.std::ios_base::Init, Size: 1 bytes
Struct: class.std::basic_ostream, Size: 272 bytes
Struct: class.std::basic_ios, Size: 264 bytes
Struct: class.std::ios_base, Size: 216 bytes
Struct: struct.std::ios_base::_Callback_list, Size: 24 bytes
Struct: struct.std::ios_base::_Words, Size: 16 bytes
Struct: class.std::locale, Size: 8 bytes
Struct: class.std::locale::_Impl, Size: 40 bytes
Struct: class.std::locale::facet, Size: 16 bytes
Struct: class.std::basic_streambuf, Size: 64 bytes
Struct: class.std::ctype, Size: 576 bytes
Struct: class.std::locale::facet.base, Size: 12 bytes
Struct: struct.__locale_struct, Size: 232 bytes
Struct: class.std::num_put, Size: 16 bytes
